url,description,same_package,source_class_inner,target_class_inner,source_file_is_test,target_file_is_test,source_class_static,target_class_static,source_class_exists,target_class_exists
https://github.com/elastic/elasticsearch/commit/b95cb8c40dc701cbce18308cdcd5538fd60facb9,"Move Method private indexCount(snapshotId SnapshotId, repositoryData RepositoryData) : int from class org.elasticsearch.action.admin.cluster.snapshots.get.TransportGetSnapshotsAction to private indexCount(snapshotId SnapshotId, repositoryData RepositoryData) : int from class org.elasticsearch.action.admin.cluster.snapshots.get.TransportGetSnapshotsAction.SnapshotPredicates",True,False,True,False,False,False,True,True,True
https://github.com/elastic/elasticsearch/commit/b95cb8c40dc701cbce18308cdcd5538fd60facb9,"Move Method private sortSnapshots(infos Stream<SnapshotInfo>, totalCount int, sortBy GetSnapshotsRequest.SortBy, after GetSnapshotsRequest.After, offset int, size int, order SortOrder) : SnapshotsInRepo from class org.elasticsearch.action.admin.cluster.snapshots.get.TransportGetSnapshotsAction to private sortSnapshots(infos Stream<SnapshotInfo>, totalCount int, offset int, size int) : SnapshotsInRepo from class org.elasticsearch.action.admin.cluster.snapshots.get.TransportGetSnapshotsAction.GetSnapshotsOperation",True,False,True,False,False,False,False,True,False
https://github.com/elastic/elasticsearch/commit/1b8baf1cf860004a85d9368accb9f707f31202c7,Move Method public isFinite() : Matcher<Double> from class org.elasticsearch.search.aggregations.bucket.sampler.random.RandomSamplerAggregatorTests.IsFinite to public isFinite() : Matcher<Double> from class org.elasticsearch.search.aggregations.bucket.sampler.random.RandomSamplerAggregatorTests,True,True,False,True,True,True,False,True,True
https://github.com/elastic/elasticsearch/commit/12e567d29e2156f8aa6e6664bd4283b478cf0860,"Move Method private compareName(name String, repoName String, info SnapshotInfo) : int from class org.elasticsearch.action.admin.cluster.snapshots.get.TransportGetSnapshotsAction.GetSnapshotsOperation to private compareName(name String, repoName String, info SnapshotInfo) : int from class org.elasticsearch.action.admin.cluster.snapshots.get.SnapshotSortKey",True,True,False,False,False,False,False,True,False
https://github.com/elastic/elasticsearch/commit/f617694e102c6e7503814a865daab3dbfd1dd038,Move Method public getFieldAttribute(name String) : FieldAttribute from class org.elasticsearch.xpack.esql.optimizer.LogicalPlanOptimizerTests to public getFieldAttribute(name String) : FieldAttribute from class org.elasticsearch.xpack.ql.TestUtils,False,False,False,True,True,False,False,True,True
https://github.com/elastic/elasticsearch/commit/f617694e102c6e7503814a865daab3dbfd1dd038,"Move Method private getFieldAttribute(name String, dataType DataType) : FieldAttribute from class org.elasticsearch.xpack.esql.optimizer.LogicalPlanOptimizerTests to public getFieldAttribute(name String, dataType DataType) : FieldAttribute from class org.elasticsearch.xpack.ql.TestUtils",False,False,False,True,True,False,False,True,True
https://github.com/elastic/elasticsearch/commit/f617694e102c6e7503814a865daab3dbfd1dd038,Move Method private getFieldAttribute(name String) : FieldAttribute from class org.elasticsearch.xpack.ql.optimizer.OptimizerRulesTests to public getFieldAttribute(name String) : FieldAttribute from class org.elasticsearch.xpack.ql.TestUtils,False,False,False,True,True,False,False,True,True
https://github.com/elastic/elasticsearch/commit/f617694e102c6e7503814a865daab3dbfd1dd038,"Move Method private getFieldAttribute(name String, dataType DataType) : FieldAttribute from class org.elasticsearch.xpack.ql.optimizer.OptimizerRulesTests to public getFieldAttribute(name String, dataType DataType) : FieldAttribute from class org.elasticsearch.xpack.ql.TestUtils",False,False,False,True,True,False,False,True,True
https://github.com/elastic/elasticsearch/commit/c41df745a6e0c954ee8827e7bac7fd0b71e2bb52,"Move Method private getExplanationsParser() : ConstructingObjectParser<Explanation,Boolean> from class org.elasticsearch.action.explain.ExplainResponse to private getExplanationsParser() : ConstructingObjectParser<Explanation,Boolean> from class org.elasticsearch.action.explain.ExplainResponseTests",True,False,False,False,True,False,False,True,True
https://github.com/elastic/elasticsearch/commit/c41df745a6e0c954ee8827e7bac7fd0b71e2bb52,"Move Method public parseXContentFields(parser XContentParser, context Builder) : void from class org.elasticsearch.action.update.UpdateResponse to public parseXContentFields(parser XContentParser, context UpdateResponse.Builder) : void from class org.elasticsearch.action.update.UpdateResponseTests",True,False,False,False,True,False,False,True,True
https://github.com/elastic/elasticsearch/commit/c41df745a6e0c954ee8827e7bac7fd0b71e2bb52,"Move Method protected setupParser(name String, ctor TriFunction<List<TaskInfo>,List<TaskOperationFailure>,List<ElasticsearchException>,T>) : ConstructingObjectParser<T,Void> from class org.elasticsearch.action.admin.cluster.node.tasks.list.ListTasksResponse to private setupParser(name String, ctor TriFunction<List<TaskInfo>,List<TaskOperationFailure>,List<ElasticsearchException>,T>) : ConstructingObjectParser<T,Void> from class org.elasticsearch.tasks.ListTasksResponseTests",False,False,False,False,True,False,False,True,True
https://github.com/elastic/elasticsearch/commit/c41df745a6e0c954ee8827e7bac7fd0b71e2bb52,"Move Method private parseProfileResultsEntry(parser XContentParser, searchProfileResults Map<String,SearchProfileShardResult>) : void from class org.elasticsearch.search.profile.SearchProfileResults to private parseProfileResultsEntry(parser XContentParser, searchProfileResults Map<String,SearchProfileShardResult>) : void from class org.elasticsearch.search.SearchResponseUtils",False,False,False,False,True,False,False,True,False
https://github.com/elastic/elasticsearch/commit/a279a302bfe9289e522a4bb32499af1304a70c0b,"Move Method public parseInnerToXContent(parser XContentParser, context Builder) : void from class org.elasticsearch.action.DocWriteResponse to public parseInnerToXContent(parser XContentParser, context DocWriteResponse.Builder) : void from class org.elasticsearch.action.bulk.BulkItemResponseTests",False,False,False,False,True,False,False,True,True
https://github.com/elastic/elasticsearch/commit/a279a302bfe9289e522a4bb32499af1304a70c0b,"Move Method public declareBroadcastFields(PARSER ConstructingObjectParser<T,Void>) : void from class org.elasticsearch.action.support.broadcast.BaseBroadcastResponse to public declareBroadcastFields(PARSER ConstructingObjectParser<T,Void>) : void from class org.elasticsearch.test.AbstractBroadcastResponseTestCase",False,False,False,False,True,False,False,True,True
https://github.com/elastic/elasticsearch/commit/8022943c7600bec01ac2ff0b4befd79157cb7813,"Move Method private parseContexts(parser XContentParser) : Map<String,Set<String>> from class org.elasticsearch.search.suggest.completion.CompletionSuggestion.Entry.Option to private parseContexts(parser XContentParser) : Map<String,Set<String>> from class org.elasticsearch.search.suggest.CompletionSuggestionOptionTests",False,True,False,False,True,True,False,True,True
